,symbol,name,engname,tradetype,lasttrade,prevclose,open,high,low,volume,amount,ticktime,buy,sell,pricechange,changepercent
352,00420,福田实业,FOUNTAIN SET,EQTY,0.680,0.700,0.700,0.700,0.660,720000,486140,2024-06-13 16:08:15,0.680,0.700,-0.020,-2.8571429
353,00422,越南制造加工出口,VMEP HOLDINGS,EQTY,0.540,0.530,0.540,0.540,0.540,51000,27540,2024-06-13 16:08:15,0.540,0.550,0.010,1.8867925
354,00423,经济日报集团,HKET HOLDINGS,EQTY,0.950,0.950,0.000,0.000,0.000,4000,3800,2024-06-13 16:08:15,0.930,0.950,0.000,0.0000000
355,00425,敏实集团,MINTH GROUP,EQTY,14.220,14.200,14.180,14.560,14.180,1926400,27635536,2024-06-13 16:08:12,14.200,14.260,0.020,0.1408451
356,00426,万华媒体,ONE MEDIA GROUP,EQTY,0.047,0.047,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.045,0.048,0.000,0.0000000
357,00428,中国天弓控股,COCOON HOLDINGS,EQTY,0.083,0.090,0.084,0.087,0.081,1064000,88928,2024-06-13 16:08:15,0.083,0.085,-0.007,-7.7777778
358,00430,东方兴业控股,ORIENTAL EXPL,EQTY,0.300,0.295,0.300,0.300,0.300,4000,1200,2024-06-13 16:08:15,0.295,0.305,0.005,1.6949153
359,00431,大中华金融,G CHINA FIN,EQTY,0.084,0.084,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,0.077,0.084,0.000,0.0000000
360,00432,盈大地产,PCPD,EQTY,0.195,0.193,0.192,0.195,0.191,166444,32272,2024-06-13 16:08:15,0.195,0.199,0.002,1.0362694
361,00433,北方矿业,NORTH MINING,EQTY,0.042,0.043,0.043,0.043,0.041,475000,19850,2024-06-13 16:08:15,0.041,0.042,-0.001,-2.3255814
362,00434,博雅互动,BOYAA,EQTY,1.940,1.960,1.970,2.000,1.900,1373000,2696920,2024-06-13 16:08:15,1.940,1.960,-0.020,-1.0204082
363,00436,新宇环保,NU ENVIRO,EQTY,0.069,0.069,0.000,0.000,0.000,8000,456,2024-06-13 16:08:15,0.061,0.070,0.000,0.0000000
364,00438,彩虹新能源,IRICO NEWENERGY,EQTY,3.440,3.480,3.450,3.450,3.450,3000,10350,2024-06-13 16:08:15,3.280,3.440,-0.040,-1.1494253
365,00439,光启科学,KUANGCHI,EQTY,0.510,0.540,0.530,0.530,0.510,93200,49028,2024-06-13 16:08:15,0.510,0.540,-0.030,-5.5555556
366,00440,大新金融,DAH SING,EQTY,21.750,21.100,21.050,22.000,21.050,472000,10270228,2024-06-13 16:08:15,21.750,21.800,0.650,3.0805687
367,00442,域能控股,DOMAINE POWER,EQTY,1.080,1.080,0.000,0.000,0.000,0,0,2024-06-13 16:08:15,1.010,1.100,0.000,0.0000000
