序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
5171,000933,神火股份,17.96,-1.1,-0.2,399064.0,715612811.84,3.14,18.22,17.65,18.13,18.16,1.0,1.78,8.56,1.87,40398336219.0,40287674063.0,0.06,0.06,6.4,12.25
5172,600079,人福医药,21.55,-1.1,-0.24,204207.0,440620652.0,1.65,21.8,21.44,21.6,21.79,0.64,1.32,15.83,2.06,35174469546.0,33255502494.0,0.09,0.14,19.46,-11.13
5173,601168,西部矿业,17.95,-1.1,-0.2,295460.0,532170192.0,2.42,18.26,17.82,18.19,18.15,0.78,1.24,11.74,2.54,42774850000.0,42774850000.0,-0.06,-0.06,14.19,30.36
5174,002526,山东矿机,2.67,-1.11,-0.03,1139047.0,304105859.69,2.96,2.71,2.63,2.65,2.7,1.05,6.48,32.58,1.53,4760059542.0,4692563363.0,0.0,0.0,20.27,-7.29
5175,002138,顺络电子,28.4,-1.11,-0.32,129468.0,369459447.65,2.65,28.98,28.22,28.85,28.72,0.86,1.71,27.52,3.71,22899441254.0,21484173915.0,0.04,0.14,7.98,6.33
5176,836422,润普食品,7.98,-1.12,-0.09,36973.0,30907854.2,12.02,8.83,7.86,8.09,8.07,1.44,6.64,47.11,1.7,706092026.0,444612690.0,-0.25,0.88,53.76,-8.17
5177,688520,神州细胞-U,40.34,-1.13,-0.46,42278.0,169751654.0,3.8,40.95,39.4,40.4,40.8,1.11,0.95,71.46,-39.16,17964842703.0,17964842703.0,-0.12,0.02,9.47,-25.12
5178,688581,安杰思,61.3,-1.13,-0.7,26988.0,160372886.0,6.74,61.89,57.71,59.02,62.0,2.27,6.64,18.83,2.16,4956644440.0,2490539065.0,0.03,-0.55,23.79,-30.43
5179,688517,金冠电气,14.81,-1.13,-0.17,66518.0,97734726.0,2.6,14.92,14.53,14.73,14.98,2.29,4.87,22.91,2.58,2023241255.0,2023241255.0,0.54,1.02,18.57,-3.14
5180,601127,赛力斯,96.38,-1.14,-1.11,586427.0,5683610361.0,4.43,99.82,95.5,99.3,97.49,0.8,3.88,44.79,10.99,145512807761.0,145512807761.0,0.01,0.11,30.17,26.48
5181,603871,嘉友国际,21.7,-1.14,-0.25,57196.0,124027309.0,2.46,22.05,21.51,21.8,21.95,0.67,0.59,13.96,3.96,21204134211.0,21204134211.0,0.23,-0.09,35.96,97.81
5182,300218,安利股份,17.2,-1.15,-0.2,54795.0,94403904.54,2.36,17.46,17.05,17.42,17.4,0.85,2.53,18.63,2.69,3732176400.0,3719953977.0,0.0,0.06,21.13,28.17
5183,300183,东软载波,17.14,-1.15,-0.2,129281.0,221298715.48,3.23,17.44,16.88,17.34,17.34,0.87,3.6,70.78,2.5,7929120608.0,6153710988.0,0.0,-0.17,50.09,14.34
5184,601818,光大银行,3.42,-1.16,-0.04,1220655.0,419020033.0,1.16,3.46,3.42,3.45,3.46,0.88,0.26,4.13,0.44,202072584629.0,158711309219.0,0.0,-0.29,7.55,25.27
5185,603020,爱普股份,7.68,-1.16,-0.09,189567.0,145260973.0,3.6,7.84,7.56,7.75,7.77,2.77,4.95,23.7,0.93,2943266104.0,2943266104.0,0.13,0.13,18.52,-7.02
5186,300542,新晨科技,28.13,-1.16,-0.33,440497.0,1261943979.66,6.43,29.52,27.69,28.1,28.46,0.66,17.88,-293.38,13.22,8398489959.0,6930818348.0,0.04,0.07,156.19,114.9
